epoch,val_acc,f1_ripe,val_loss
1,0.8051948051948052,0.8329809725158562,0.13160708285868167
2,0.8782467532467533,0.8816326530612245,0.08331197164952756
3,0.8847402597402597,0.875,0.06229063244536519
4,0.9090909090909091,0.9178356713426854,0.05671880021691322
5,0.9107142857142857,0.9075975359342916,0.04671813091263175
6,0.9188311688311688,0.9181636726546906,0.04754264838993549
7,0.922077922077922,0.9149797570850202,0.047851629182696344
8,0.9188311688311688,0.9106029106029107,0.04272615849040449
9,0.9123376623376623,0.9139344262295082,0.048877939209342004
10,0.9318181818181818,0.9317269076305221,0.035938848415389656
11,0.9431818181818182,0.93812375249501,0.034751951997168365
12,0.939935064935065,0.9444444444444444,0.03504665954969823
13,0.9318181818181818,0.9311740890688259,0.032848360959906134
14,0.939935064935065,0.9397590361445783,0.0338140448089689
15,0.948051948051948,0.9477911646586346,0.03143137728329748
16,0.9383116883116883,0.9388560157790927,0.032460225268732754
17,0.9448051948051948,0.9442231075697212,0.03223301093094051
18,0.939935064935065,0.9418837675350702,0.03538803475676104
19,0.9448051948051948,0.9421157684630739,0.033564340719021854
20,0.9383116883116883,0.9395161290322581,0.03486442157300189
21,0.9448051948051948,0.9416498993963782,0.03471396216773428
22,0.9334415584415584,0.9352226720647774,0.0341357690631412
23,0.9431818181818182,0.9435483870967742,0.032910074765095484
24,0.9431818181818182,0.9482071713147411,0.033916087017860266
25,0.9512987012987013,0.9500998003992016,0.032486944046104325
26,0.9448051948051948,0.9448818897637795,0.0357899528433336
27,0.9448051948051948,0.94,0.03263246662681922
28,0.948051948051948,0.9482071713147411,0.03284168112440966
29,0.9464285714285714,0.9463220675944334,0.0323465900903102
30,0.952922077922078,0.9500998003992016,0.032374006242025646
